candidate_id,sample_id,source_log_id,reviewed_at,reviewer,include_decision,exclude_reason,duplicate_of,company,job_title,normalized_role,experience_level,required_skills,skill_tags,domain_requirement,url,raw_file,review_notes
CAND-ATS-040,,LOG-210,,,hold,,,Fieldguide,AI Engineer (Korea),applied_ai_developer,,,python;llm;rag,,https://jobs.ashbyhq.com/fieldguide/e4449697-06e3-4864-b077-c1ed4130e3cf,01_research/raw/public_ats/ATS-010_ashby_fieldguide_2026-05-12.json,target_id=ATS-010; provider=ashby; raw_id=e4449697-06e3-4864-b077-c1ed4130e3cf; public_ats_api; requires_manual_review
CAND-ATS-041,,LOG-211,,,hold,,,Binance,"Data Scientist, Market Growth (Lifecycle)",applied_ai_developer,,,rag,,https://jobs.lever.co/binance/16d56d5d-98c0-4942-9a22-54ca4b2b33e9,01_research/raw/public_ats/ATS-011_lever_binance_2026-05-12.json,target_id=ATS-011; provider=lever; raw_id=16d56d5d-98c0-4942-9a22-54ca4b2b33e9; public_ats_api; requires_manual_review
CAND-ATS-042,,LOG-211,,,hold,,,Binance,"Senior Software Engineer, Internal Applications (AI Agent)",applied_ai_developer,,,rag,,https://jobs.lever.co/binance/ec19eeba-e365-433b-bd14-0cc0a21d6a8d,01_research/raw/public_ats/ATS-011_lever_binance_2026-05-12.json,target_id=ATS-011; provider=lever; raw_id=ec19eeba-e365-433b-bd14-0cc0a21d6a8d; public_ats_api; requires_manual_review
CAND-ATS-043,,LOG-212,,,hold,,,Palantir,Forward Deployed Software Engineer,applied_ai_developer,,,rag,,https://jobs.lever.co/palantir/1bb19522-3936-4adc-9ced-c3df8b5900b9,01_research/raw/public_ats/ATS-012_lever_palantir_2026-05-12.json,target_id=ATS-012; provider=lever; raw_id=1bb19522-3936-4adc-9ced-c3df8b5900b9; public_ats_api; requires_manual_review
CAND-ATS-044,,LOG-213,,,hold,,,Moloco,Applied Scientist II (응용 과학자 II),ml_engineer,,,cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/7562204003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7562204003; public_ats_api; requires_manual_review
CAND-ATS-045,,LOG-213,,,hold,,,Moloco,Machine Learning Engineer (머신러닝 엔지니어-전문연구요원),ai_researcher,,,python;tensorflow;cloud;rag;nlp;cv;recommender,,https://job-boards.greenhouse.io/moloco/jobs/6245366003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=6245366003; public_ats_api; requires_manual_review
CAND-ATS-046,,LOG-213,,,hold,,,Moloco,Machine Learning Engineer II (머신러닝 엔지니어 II),ml_engineer,,,python;tensorflow;cloud;rag;nlp;cv;recommender,,https://job-boards.greenhouse.io/moloco/jobs/6023209003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=6023209003; public_ats_api; requires_manual_review
CAND-ATS-047,,LOG-213,,,hold,,,Moloco,Machine Learning Engineer Intern (3-month internship),ml_engineer,,,python;cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/7635045003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7635045003; public_ats_api; requires_manual_review
CAND-ATS-048,,LOG-213,,,hold,,,Moloco,Senior Applied Scientist (시니어 응용 과학자),ml_engineer,,,cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/7452525003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7452525003; public_ats_api; requires_manual_review
CAND-ATS-049,,LOG-213,,,hold,,,Moloco,Senior Machine Learning Engineer (시니어 머신러닝 엔지니어),ml_engineer,,,python;tensorflow;cloud;rag;nlp;cv;recommender,,https://job-boards.greenhouse.io/moloco/jobs/5820201003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=5820201003; public_ats_api; requires_manual_review
CAND-ATS-050,,LOG-213,,,hold,,,Moloco,Senior Software Engineer - Ads Creative (시니어 소프트웨어 엔지니어),ml_engineer,,,python;sql;cloud;rag;cv;recommender,,https://job-boards.greenhouse.io/moloco/jobs/7720326003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7720326003; public_ats_api; requires_manual_review
CAND-ATS-051,,LOG-213,,,hold,,,Moloco,Senior Software Engineer - Ads Experience  (시니어 소프트웨어 엔지니어),ml_engineer,,,python;sql;cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/7720325003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7720325003; public_ats_api; requires_manual_review
CAND-ATS-052,,LOG-213,,,hold,,,Moloco,Software Engineer II - Ads Experience (소프트웨어 엔지니어 II),ml_engineer,,,python;sql;cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/7720321003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7720321003; public_ats_api; requires_manual_review
CAND-ATS-053,,LOG-213,,,hold,,,Moloco,Staff Backend Software Engineer (스태프 백엔드 소프트웨어 엔지니어),ml_engineer,,,cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/5645749003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=5645749003; public_ats_api; requires_manual_review
CAND-ATS-054,,LOG-213,,,hold,,,Moloco,"Staff Data Scientist, Product Analytics - Creatives",ml_engineer,,,cloud;rag;cv,,https://job-boards.greenhouse.io/moloco/jobs/7715489003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=7715489003; public_ats_api; requires_manual_review
CAND-ATS-055,,LOG-213,,,hold,,,Moloco,Staff Machine Learning Engineer (스태프 머신러닝 엔지니어),ml_engineer,,,python;tensorflow;cloud;rag;nlp;cv;recommender,,https://job-boards.greenhouse.io/moloco/jobs/5820219003,01_research/raw/public_ats/ATS-013_greenhouse_moloco_2026-05-12.json,target_id=ATS-013; provider=greenhouse; raw_id=5820219003; public_ats_api; requires_manual_review
